ID_Date,RopaHombre,RopaMujer,Complementos,Zapatos,Home,Interior,Otros,SR_Total
202201,50140,81289,16190,36790,18848,9906,183,213346
202202,51217,152805,26083,37960,20047,11057,461,299630
202203,49163,68383,18109,37765,20105,66200,198,259923
202204,48219,65126,16985,76244,17629,17827,176,242206
202205,42229,44577,16498,79434,18526,10738,186,212188
202206,35803,35046,14594,36188,14362,9893,169,146055
202207,37299,37862,14185,32259,15420,11114,117,148256
202208,57031,41422,15235,36525,27579,10447,151,188390
202209,45671,42593,16139,35018,63586,9478,122,212607
202210,47997,94191,16499,40008,27531,10355,230,236811
202211,42373,47172,15380,44717,27926,7485,233,185286
202212,35190,35275,13016,28467,17942,6931,322,137143
202301,52218,44472,16496,25856,21886,11097,166,172191
202302,76452,36512,15885,25183,17635,16158,163,187988
202303,43139,32440,14569,25241,14627,15173,180,145369
202304,38612,26536,12022,29773,12252,13853,121,133169
202305,35264,49406,11968,34950,12242,13665,98,157593
202306,30945,147593,12666,23831,10989,12360,82,238466
202307,28272,71505,12374,24552,11518,12123,69,160413
202308,39063,59504,13020,30451,11139,13252,86,166515
202309,27297,42381,11817,23677,9348,10195,34,124749
202310,32005,93005,12824,22327,12347,11996,8,184512
202311,25243,46827,12175,23003,12654,10171,187,130260
202312,24010,37144,10574,19232,11038,11589,9,113596
202401,44865,46593,13691,21904,11891,11983,7,150934
202402,47979,54426,12620,22052,11470,10862,5,159414
202403,26136,41617,11122,18230,9021,10317,6,116449
202404,24027,41722,10461,16474,8316,9945,3,110948
202405,24884,33785,11890,16991,9202,12658,6,109416
202406,30028,28209,10261,13567,7062,9744,6,98877
202407,32977,31677,10425,14957,6922,21157,7,118122
202408,31531,37093,14338,17446,11722,15855,1494,129479
202409,28271,34293,12813,14777,9823,14214,3226,117417
202410,30702,32818,11959,15187,8882,15243,1183,115974
202411,30870,33970,12384,15592,9337,16617,1478,120248
202412,30344,34544,12874,15751,9941,15482,1845,120780
